Comuna;Poblacion censada;Nunca asistio;Diferencial;Parvularia;Basica;Media;Superior;Nivel educativo no declarado
Río Hurtado;4.334;262.0;12.0;126.0;1.839;1.485;605;5.0
Valparaíso;284.938;6.309;2.038;10.571;54.737;110.136;98.601;2.546
Casablanca;29.876;884.0;176.0;1.488;7.797;11.713;7.535;283.0
Concón;48.294;1.024;193.0;2.089;7.816;13.496;23.189;487.0
Juan Fernández;904;10.0;3.0;60.0;232;296;290;13.0
Puchuncaví;22.539;643.0;140.0;986.0;5.762;8.863;5.942;203.0
Quintero;35.754;1.036;281.0;1.626;8.588;14.026;9.862;335.0
Viña del Mar;334.871;7.106;1.945;12.316;57.232;114.685;139.115;2.472
Isla de Pascua;4.800;112.0;14.0;325.0;910;1.683;1.531;225.0
Los Andes;63.440;1.516;361.0;2.827;13.771;25.288;19.308;369.0
Calle Larga;16.597;482.0;92.0;813.0;4.450;6.532;4.164;64.0
Rinconada;11.855;361.0;55.0;639.0;3.407;4.160;3.194;39.0
San Esteban;20.112;627.0;84.0;873.0;5.577;7.575;5.316;60.0
La Ligua;39.270;1.274;184.0;1.792;11.585;15.080;9.211;144.0
Cabildo;20.015;828.0;119.0;909.0;6.357;7.874;3.896;32.0
Papudo;7.561;219.0;29.0;331.0;2.172;2.918;1.870;22.0
Petorca;10.206;449.0;30.0;423.0;3.244;3.983;2.058;19.0
Zapallar;7.980;220.0;20.0;409.0;2.206;2.794;2.279;52.0
Quillota;96.753;2.381;658.0;4.374;22.715;36.703;29.187;735.0
Calera;50.631;1.499;344.0;2.294;12.880;21.055;12.202;357.0
Hijuelas;19.286;743.0;115.0;966.0;6.143;7.379;3.887;53.0
La Cruz;24.939;678.0;114.0;1.2;5.323;8.241;9.289;94.0
Nogales;22.136;758.0;158.0;858.0;6.507;9.349;4.347;159.0
San Antonio;96.770;2.927;646.0;4.151;23.822;41.689;22.946;589.0
Algarrobo;16.076;463.0;58.0;575.0;3.180;5.553;6.062;185.0
Cartagena;24.599;801.0;164.0;947.0;6.966;11.073;4.470;178.0
El Quisco;18.971;531.0;136.0;625.0;3.907;7.753;5.818;201.0
El Tabo;16.260;457.0;123.0;490.0;3.752;6.913;4.395;130.0
Santo Domingo;13.171;354.0;46.0;645.0;3.187;4.025;4.801;113.0
San Felipe;80.413;2.243;591.0;3.858;19.460;31.629;22.162;470.0
Catemu;13.760;453.0;67.0;607.0;4.503;5.791;2.293;46.0
Llaillay;25.484;804.0;160.0;1.292;7.611;9.983;5.554;80.0
Panquehue;7.269;238.0;47.0;296.0;2.351;2.923;1.380;34.0
Putaendo;17.336;582.0;102.0;768.0;4.887;6.834;4.084;79.0
Santa María;15.134;405.0;120.0;678.0;4.686;6.206;3.001;38.0
Quilpué;162.559;3.349;1.0;6.137;27.815;59.470;63.438;1.35
Limache;56.145;1.576;432.0;2.585;13.115;20.933;17.005;499.0
Olmué;19.778;583.0;155.0;843.0;5.288;7.401;5.376;132.0
